Original_Name,New_Name,Type,Domain,Size_MB,Date_Modified,Associated_Guide,Local_Path
 Linux File Permissions & Azure Compute.wav,AZ-104-Compute-Linux_File_Permissions_&_Azure_Compute.wav,WAV,Compute,44.71,2025-03-29,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Linux_File_Permissions_&_Azure_Compute.wav
ACI_Cost_vs.m4a,AZ-104-Compute-ACI_Cost_vs.m4a,M4A,Compute,20.05,2025-10-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-ACI_Cost_vs.m4a
ADE_Cross-Region_VM_Migration__The_Mandatory_D-G-W-C_Azure_CLI_.m4a,AZ-104-Compute-ADE_Cross-Region_VM_Migration__The_Mandatory_D-G-W-C_Azure_CLI_.m4a,M4A,Compute,19.64,2025-11-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-ADE_Cross-Region_VM_Migration__The_Mandatory_D-G-W-C_Azure_CLI_.m4a
AZ-104   Azure Virtual Networks key insights  (VNets) .wav,AZ-104-Networking-Azure_Virtual_Networks_key_insights_(VNets).wav,WAV,Networking,65.6,2025-06-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Virtual_Networks_key_insights_(VNets).wav
AZ-104   flip my 4Geeks full-stack skills into Azure .wav,AZ-104-flip_my_4Geeks_full-stack_skills_into_Azure.wav,WAV,General,35.97,2025-04-16,,Conversations /AZ-104 CONVERSATIONS/AZ-104-flip_my_4Geeks_full-stack_skills_into_Azure.wav
AZ-104  App Service Flash card essentials.wav,AZ-104-Compute-App_Service_Flash_card_essentials.wav,WAV,Compute,32.92,2025-06-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-App_Service_Flash_card_essentials.wav
AZ-104  Azure Blob vs File Storage.wav,AZ-104-Storage-Azure_Blob_vs_File_Storage.wav,WAV,Storage,66.87,2025-04-05,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Azure_Blob_vs_File_Storage.wav
AZ-104  Azure RBAC.wav,AZ-104-Identity-Azure_RBAC.wav,WAV,Identity,56.74,2025-03-30,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Azure_RBAC.wav
AZ-104  Azure Trusted Launchwav.wav,AZ-104-Azure_Trusted_Launchwav.wav,WAV,General,27.79,2025-05-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Azure_Trusted_Launchwav.wav
AZ-104  Azure Virtual Network.wav,AZ-104-Networking-Azure_Virtual_Network.wav,WAV,Networking,72.38,2025-06-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Virtual_Network.wav
AZ-104  File share Config-.wav,AZ-104-Storage-File_share_Config-.wav,WAV,Storage,47.71,2025-04-24,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-File_share_Config-.wav
AZ-104  Governance and Compliance.wav,AZ-104-Governance-Governance_and_Compliance.wav,WAV,Governance,44.62,2025-04-04,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Governance-Governance_and_Compliance.wav
AZ-104  Lab- Deploy Static HTML App with `az webapp up`.wav,AZ-104-Compute-Lab-_Deploy_Static_HTML_App_with_az_webapp_up.wav,WAV,Compute,28.31,2025-05-27,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Lab-_Deploy_Static_HTML_App_with_az_webapp_up.wav
AZ-104  NetworkSecurityGroup 2 NSG.wav,AZ-104-Networking-NetworkSecurityGroup_2_NSG.wav,WAV,Networking,54.27,2025-06-20,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-NetworkSecurityGroup_2_NSG.wav
AZ-104  NetworkSecurityGroup NSG.wav,AZ-104-Networking-NetworkSecurityGroup_NSG.wav,WAV,Networking,46.44,2025-06-15,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-NetworkSecurityGroup_NSG.wav
